entidad	nom_ent	mun	nom_mun	pobtot	pobfem	pob0_14	pob15_64	pob65_mas
08	Chihuahua	033	Huejotitán	824	413	203	468	153
08	Chihuahua	034	Ignacio Zaragoza	5196	2591	1106	3177	913
08	Chihuahua	035	Janos	11005	5245	3433	6709	844
08	Chihuahua	036	Jiménez	40859	20671	11302	25991	3557
08	Chihuahua	037	Juárez	1512450	755473	380302	1042232	85438
08	Chihuahua	038	Julimes	4980	2463	1231	3114	629
08	Chihuahua	039	López	4122	2005	1027	2498	597
08	Chihuahua	040	Madera	25144	12738	6710	15490	2793
08	Chihuahua	041	Maguarichi	1302	681	387	775	140
08	Chihuahua	042	Manuel Benavides	1178	552	199	785	194
08	Chihuahua	043	Matachí	2742	1328	607	1687	448
08	Chihuahua	044	Matamoros	4314	2151	1069	2662	583
08	Chihuahua	045	Meoqui	44853	22472	11709	28945	4132
08	Chihuahua	046	Morelos	7266	3601	2627	4135	504
08	Chihuahua	047	Moris	4447	2113	1329	2655	437
08	Chihuahua	048	Namiquipa	22712	11322	5700	13802	3201
08	Chihuahua	049	Nonoava	2757	1380	746	1666	345
08	Chihuahua	050	Nuevo Casas Grandes	65753	33614	17150	43021	5568
08	Chihuahua	051	Ocampo	8127	4017	2728	4833	566
08	Chihuahua	052	Ojinaga	24534	12341	6262	15764	2493
08	Chihuahua	053	Praxedis G. Guerrero	5111	2512	1314	3194	592
08	Chihuahua	054	Riva Palacio	7695	3802	2281	4741	673
08	Chihuahua	055	Rosales	16776	8361	3965	11018	1777
08	Chihuahua	056	Rosario	2079	997	413	1312	354
08	Chihuahua	057	San Francisco de Borja	2197	1045	449	1307	441
08	Chihuahua	058	San Francisco de Conchos	2696	1295	581	1714	401
08	Chihuahua	059	San Francisco del Oro	5004	2520	1308	3110	584
08	Chihuahua	060	Santa Bárbara	11582	5765	3073	7277	1191
08	Chihuahua	061	Satevó	3414	1609	654	2086	674
08	Chihuahua	062	Saucillo	29862	15034	7466	19135	3261
08	Chihuahua	063	Temósachic	5320	2654	1317	3212	791
08	Chihuahua	064	El Tule	1448	722	323	879	246
08	Chihuahua	065	Urique	17043	8685	5861	9834	1348
08	Chihuahua	066	Uruachi	6512	3224	1993	3903	616
08	Chihuahua	067	Valle de Zaragoza	4775	2356	1137	2835	803
09	Ciudad de México	002	Azcapotzalco	432205	227255	70366	306611	54863
09	Ciudad de México	003	Coyoacán	614447	325337	91327	432544	90448
09	Ciudad de México	004	Cuajimalpa de Morelos	217686	113537	45307	155503	16760
09	Ciudad de México	005	Gustavo A. Madero	1173351	609477	212345	819397	141375
09	Ciudad de México	006	Iztacalco	404695	212343	69312	286131	49074
09	Ciudad de México	007	Iztapalapa	1835486	947835	366835	1293944	174312
09	Ciudad de México	008	La Magdalena Contreras	247622	129335	47378	174135	26066
09	Ciudad de México	009	Milpa Alta	152685	78314	36311	105619	10741
09	Ciudad de México	010	Álvaro Obregón	759137	398130	136052	538449	83813
09	Ciudad de México	011	Tláhuac	392313	202123	84051	278514	29603
09	Ciudad de México	012	Tlalpan	699928	365051	129152	496189	74056
09	Ciudad de México	013	Xochimilco	442178	226726	89049	312227	40693
09	Ciudad de México	014	Benito Juárez	434153	232032	51243	321279	61593
09	Ciudad de México	015	Cuauhtémoc	545884	284933	83469	398058	64291
09	Ciudad de México	016	Miguel Hidalgo	414470	219003	62495	295866	50183
09	Ciudad de México	017	Venustiano Carranza	443704	233586	78081	310974	54234
10	Durango	001	Canatlán	31454	15803	8369	19742	3328
10	Durango	002	Canelas	4321	2111	1436	2571	314
10	Durango	003	Coneto de Comonfort	4084	2020	1255	2421	397
10	Durango	004	Cuencamé	34955	17440	10084	21610	3195
10	Durango	005	Durango	688697	353285	181469	454946	50310
10	Durango	006	General Simón Bolívar	10038	5057	3024	5883	1127
10	Durango	007	Gómez Palacio	372750	188213	101901	244327	25962
10	Durango	008	Guadalupe Victoria	36695	18635	9659	23673	3311
10	Durango	009	Guanaceví	9869	4716	2907	6003	959
10	Durango	010	Hidalgo	3843	1907	969	2258	616
10	Durango	011	Indé	4748	2374	1228	2718	799
10	Durango	012	Lerdo	163313	82457	43978	107289	11837
10	Durango	013	Mapimí	26932	13462	8708	16108	2079
10	Durango	014	Mezquital	48583	24725	21390	25085	2057
10	Durango	015	Nazas	12894	6369	3710	7607	1575
10	Durango	016	Nombre de Dios	19060	9552	5337	11642	2081
10	Durango	017	Ocampo	8003	3911	1930	4801	1272
10	Durango	018	El Oro	10384	5201	2591	6302	1491
10	Durango	019	Otáez	4924	2332	1643	2928	353
10	Durango	020	Pánuco de Coronado	12656	6353	3237	7898	1484
10	Durango	021	Peñón Blanco	11118	5506	3234	6679	1193
10	Durango	022	Poanas	25623	13004	6978	16071	2555
10	Durango	023	Pueblo Nuevo	51269	25887	17778	30766	2707
10	Durango	024	Rodeo	12818	6314	3777	7557	1484
10	Durango	025	San Bernardo	2837	1308	628	1633	576
10	Durango	026	San Dimas	17333	8462	5628	10545	1157
10	Durango	027	San Juan de Guadalupe	5251	2630	1464	3098	677
10	Durango	028	San Juan del Río	12013	6092	3528	7090	1381
10	Durango	029	San Luis del Cordero	2103	1037	595	1234	274
10	Durango	030	San Pedro del Gallo	1633	782	405	993	235
10	Durango	031	Santa Clara	6727	3373	1951	3920	856
10	Durango	032	Santiago Papasquiaro	49207	24260	14074	30918	4206
10	Durango	033	Súchil	6917	3524	2042	4089	782
10	Durango	034	Tamazula	26300	12794	9195	15435	1666
10	Durango	035	Tepehuanes	11378	5629	3048	6832	1498
10	Durango	036	Tlahualilo	21143	10606	6227	12894	1994
10	Durango	037	Topia	9320	4561	3068	5601	651
10	Durango	038	Vicente Guerrero	23476	11996	6592	14804	2068
10	Durango	039	Nuevo Ideal	27981	14096	8867	16658	2435
11	Guanajuato	001	Abasolo	92040	47187	25470	58660	7905
11	Guanajuato	002	Acámbaro	108697	56489	26332	68964	13366
11	Guanajuato	003	San Miguel de Allende	174615	91538	47668	112782	14115
11	Guanajuato	004	Apaseo el Alto	63392	32842	17503	40836	5049
11	Guanajuato	005	Apaseo el Grande	117883	60630	30797	75067	6585
11	Guanajuato	006	Atarjea	5296	2713	1494	3078	724
11	Guanajuato	007	Celaya	521169	268124	128188	352485	39655
11	Guanajuato	008	Manuel Doblado	41240	21463	11814	25244	4179
11	Guanajuato	009	Comonfort	82216	43483	23872	52530	5813
11	Guanajuato	010	Coroneo	11083	5813	3103	6869	1111
11	Guanajuato	011	Cortazar	97928	50393	24441	65265	8179
11	Guanajuato	012	Cuerámaro	30857	15990	8483	19326	3045
11	Guanajuato	013	Doctor Mora	27390	14257	8393	17196	1801
11	Guanajuato	014	Dolores Hidalgo Cuna de la Independencia Nacional	163038	86327	50255	101578	11040
11	Guanajuato	015	Guanajuato	194500	100462	48637	132066	13669
11	Guanajuato	016	Huanímaro	21128	11137	5710	13156	2260
11	Guanajuato	017	Irapuato	592953	302183	153347	396057	43422
11	Guanajuato	018	Jaral del Progreso	38782	19935	10117	24953	3711
11	Guanajuato	019	Jerécuaro	49517	25903	13863	30402	5252
11	Guanajuato	020	León	1721215	874542	447739	1160943	108370
11	Guanajuato	021	Moroleón	47261	24559	9717	31757	5787
